서지ID,제목,저자,출판사,출판년,청구기호,분류기호,분류항목,주제어,검색청구기호
CATTOC000000692092,Behavioral business ethics : shaping an emerging field,"De Cremer, David",Routledge,2012,174.4 B419,174.4,,,174.4
CATTOC000000675792,Finance ethics : critical issues in theory and practice,"Boatright, John Raymond",Wiley,2010,174.4 B662f,174.4,,,174.4
CATTOC000000688475,Sage brief guide to marketing ethics,"Shaw, Lisa",SAGE,2012,174.4 S129,174.4,,,174.4
CATTOC000000690047,Business ethics and corporate sustainability,"Tencati, Antonio","Edward Elgar Publishing, Incorporated",2011,174.4 B977,174.4,,,174.4
CATTOC000000629705,"Business ethics and values : individual, corporate and international perspectives / 3rd ed","Fisher, C. M.",Prentice Hall/Financial Times,2009,174.4 F533b 2009,174.4,,,174.4
CATTOC000000650139,Business ethics / 7th ed,"De George, Richard T.",Prentice Hall,2010,174.4 D278b 2010,174.4,,,174.4
CATTOC000000676115,"Weltgeist, Weltmarkt, Weltgericht","Kittsteiner, Heinz Dieter",Wilhelm Fink,2008,174.4 K62w,174.4,,,174.4
CATTOC000000675798,Accounting and business ethics : an introduction,"McPhail, Ken",Routledge,2009,174.4 M172a,174.4,,,174.4
CATTOC000000660345,"Ethical decision making for business / 8th ed., International ed","Fraedrich, John",South-Western Cengage Learning,2011,174.4 F799e 2011,174.4,,,174.4
CATTOC000000639309,Business ethics : a case study approach,"Henn, Stephen K.",Wiley,2009,174.4 H515b,174.4,,,174.4
CATTOC000000650331,Business ethics : a managerial approach,"Wicks, Andrew C.",Prentice Hall,2010,174.4 B978,174.4,,,174.4
CATTOC000000654534,"Profit, prudence and virtue : essays in ethics, business and management","Gregg, Samuel",Imprint Academic,2009,174.4 P965,174.4,,,174.4
CATTOC000000636186,Temptations in the office : ethical choices and legal obligations,"Goldman, Stephen M.",Praeger,2008,174.4 G619t,174.4,,,174.4
CATTOC000000655438,자본주의는 윤리적인가?: 우리 시대의 몇 가지 우스꽝스러움과 독재에 대한 고찰,"Comte-Sponville, Andre<",생각의나무,2010,174.4 C741c K,174.4,,,174.4
CATTOC000000591384,"The moral leader : challenges, insights, and tools","Sucher, Sandra J.",Routledge,2008,174.4 S942m,174.4,,,174.4
CATTOC000000625860,Globalisation and business ethics,"Homann, Karl",Ashgate,2008,LA 174.4 G562,174.4,,,174.4
CATTOC000000617869,Business ethics as practice : ethics as the everyday business of business,"Painter-Morland, Mollie",Cambridge University Press,2008,174.4 P148b,174.4,,,174.4
CATTOC000000808694,Good work : when excellence and ethics meet,"Gardner, Howard",Basic,2001,174.4 G227g,174.4,,,174.4
CATTOC000000671143,經濟と倫理 : 福祉國家の哲學,염야 곡우일,東京大學出版會,2002,174.4 염62ㄱ,174.4,,,174.4
CATTOC000000690055,Ethics and organizational leadership : developing a normative model,"Fryer, Mick",Oxford University Press,2011,174.4 F948e,174.4,,,174.4
CATTOC000000691973,"Ethical solutions : creating an ethical and high-performing business community: proven principles, for personal, professional, and ethical excellence","Ferdowsian, M. C.",Xlibris,2009,174.4 F348e,174.4,,,174.4
CATTOC000000670721,Why some things should not be for sale : the moral limits of markets,"Satz, Debra",Oxford University Press,2010,174.4 S254w,174.4,,,174.4
CATTOC000000699071,Ethics and the conduct of business / 6th ed,"Boatright, John Raymond",Pearson Prentice Hall,2009,174.4 B662e 2009,174.4,,,174.4
CATTOC000000675784,Ethical issues and social dilemmas in knowledge management : organizational innovation,"Morais da Costa, Gonc*alo Jorge",Information Science Reference,2011,174.4 E846,174.4,,,174.4
CATTOC000000625882,"Developing a corporate ethics strategy : leading CEOs on building a culture of trust, addressing ethical dilemmas, and ensuring company consistency","Gutierrez, Adolfo E.",Aspatore Books,2009,LA 174.4 D489,174.4,,,174.4
CATTOC000000700476,"International management ethics : a critical, cross-cultural perspective","Jackson, Terence",Cambridge University Press,2011,174.4 J14i,174.4,,,174.4
CATTOC000000555903,Responsible leadership,"Maak, Thomas",Routledge,2006,174.4 R434,174.4,,,174.4
CATTOC000000822633,Business Ethics : An Ethical Decision-Making Approach,"Schwartz, Mark S",Wiley,2017,174.4 S399b,174.4,,,174.4
CATTOC000000688589,Blind spots : why we fail to do what's right and what to do about it,"Bazerman, Max H",Princeton University Press,2011,174.4 B362b,174.4,,,174.4
